song_name,artist_name,played_at,timestamp
Dive,Alex Lustig,2021-04-16T09:37:06.423Z,2021-04-16
Algum Ritmo,Gilsons,2021-04-16T09:34:45.427Z,2021-04-16
Evaporate,35007,2021-04-16T09:17:08.803Z,2021-04-16
Seasons,Vanilla Gorilla,2021-04-16T08:59:01.223Z,2021-04-16
Açaí - JAH-VAN,BiD,2021-04-16T00:28:09.778Z,2021-04-16
Star Spangled Man,Henry Jackman,2021-04-16T00:18:16.029Z,2021-04-16
2345MEIA78,Gabriel O Pensador,2021-04-15T23:56:56.430Z,2021-04-15
Sunday Best,Surfaces,2021-04-15T23:43:28.179Z,2021-04-15
August,Athletics,2021-04-15T23:02:43.605Z,2021-04-15
We Made It (feat. Linkin Park),Busta Rhymes,2021-04-15T22:55:55.885Z,2021-04-15
Mustang,Skegss,2021-04-15T22:51:15.862Z,2021-04-15
Orchard,Windhand,2021-04-15T22:42:52.115Z,2021-04-15
What I Do,Sashamon,2021-04-15T22:36:18.896Z,2021-04-15
Disorder - 2007 Remaster,Joy Division,2021-04-15T22:31:20.828Z,2021-04-15
Back to You,Goons Of Doom,2021-04-15T22:27:54.771Z,2021-04-15
Seasons,Vanilla Gorilla,2021-04-15T22:20:05.930Z,2021-04-15
Coragem,Diogo Nogueira,2021-04-15T19:39:19.620Z,2021-04-15
Swept,Kiasmos,2021-04-15T18:51:33.680Z,2021-04-15
Swept,Kiasmos,2021-04-15T18:46:00.315Z,2021-04-15
Swept,Kiasmos,2021-04-15T18:40:27.331Z,2021-04-15
